,time,x,y,z,roll,pitch,yaw
109,163645084.605852,-25926.75766,-93137.9019,-1.99732,0,0.06241,2.01138
110,163645084.705852,-25927.46973,-93136.39464,-2.10053,0,0.0611,2.0127599999999997
111,163645084.804852,-25928.18378,-93134.88831000001,-2.20056,0,0.059070000000000004,2.01397
112,163645084.905852,-25928.89919,-93133.38263,-2.29842,0,0.05861,2.01455
113,163645085.006851,-25929.61474,-93131.87701,-2.39736,0,0.060039999999999996,2.0142700000000002
114,163645085.106851,-25930.32956,-93130.37105,-2.49946,0,0.06205,2.01375
115,163645085.204851,-25931.04406,-93128.86493,-2.6038200000000002,0,0.06249,2.01388
116,163645085.306851,-25931.75935,-93127.35919,-2.70611,0,0.05993,2.0146599999999997
117,163645085.406851,-25932.47591,-93125.85407,-2.80324,0,0.0571,2.01545
118,163645085.505851,-25933.19324,-93124.3493,-2.8980200000000003,0,0.05685,2.01569
119,163645085.606851,-25933.910359999998,-93122.84442000001,-2.99313,0,0.05697000000000001,2.01523
120,163645085.706851,-25934.626269999997,-93121.33899,-3.0878400000000004,0,0.056670000000000005,2.01418
121,163645085.806851,-25935.34029,-93119.83264,-3.18312,0,0.05761,2.01282
122,163645085.906851,-25936.05225,-93118.32532999999,-3.28,0,0.05811,2.0114799999999997
123,163645086.006851,-25936.762280000003,-93116.81711,-3.3757900000000003,0,0.05661,2.0102
124,163645086.10585,-25937.47018,-93115.30788,-3.46811,0,0.054079999999999996,2.00865
125,163645086.20685,-25938.17561,-93113.7975,-3.55471,0,0.0499,2.0070099999999997
126,163645086.30685,-25938.87862,-93112.286,-3.6341099999999997,0,0.04603,2.00542
127,163645086.40785,-25939.579009999998,-93110.77327,-3.70946,0,0.04485,2.00354
128,163645086.50585,-25940.27648,-93109.25919,-3.78444,0,0.0451,2.00163
129,163645086.60685,-25940.971080000003,-93107.74379,-3.85989,0,0.045239999999999995,1.9996900000000002
130,163645086.70685,-25941.66241,-93106.22691,-3.93466,0,0.04426,1.99732
131,163645086.80585,-25942.349980000003,-93104.70831,-4.00707,0,0.04288,1.9948700000000001
132,163645086.90685,-25943.034340000002,-93103.18826,-4.07902,0,0.04371,1.99312
133,163645087.00585,-25943.71665,-93101.6673,-4.1529300000000005,0,0.04423,1.9920200000000001
134,163645087.10585,-25944.39734,-93100.14562000001,-4.22286,0,0.039169999999999996,1.99088
135,163645087.206849,-25945.07599,-93098.623,-4.28172,0,0.03265,1.9893900000000002
136,163645087.307849,-25945.75235,-93097.09938,-4.334630000000001,0,0.031889999999999995,1.98797
137,163645087.406849,-25946.42691,-93095.57497,-4.3897,0,0.033839999999999995,1.98701
